Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah;T07;T13;T18;T_Avg;T_Max;T_Min;Rain;Sun;Pressure;RH07;RH13;RH18;RH_Avg;WS_Avg;WD_Most;WS_Max;WD_Max;Tanggal_DT
;2015;4;18;;;;;;;;;;;;;;;;;;;26.1;31.8;29.6;28.36666667;32.8;25.2;0.0;93.75;1010.3;0.0;0.0;0.0;80.73051133;7.0;0.0;11.0;290.0;2015-04-18
;2015;4;19;;;;;;;;;;;;;;;;;;;25.2;31.7;29.4;28.33333333;31.9;24.4;7.1;85.0;1011.0;0.0;0.0;0.0;80.44730352;5.0;0.0;8.0;70.0;2015-04-19
;2015;4;20;;;;;;;;;;;;;;;;;;;25.6;32.6;28.2;28.00833333;33.0;24.4;0.0;76.25;1009.7;0.0;0.0;0.0;81.74201699;7.0;0.0;11.0;330.0;2015-04-20
;2015;4;21;;;;;;;;;;;;;;;;;;;26.5;30.9;26.7;27.50416667;32.3;25.4;1.0;42.5;1010.3;0.0;0.0;0.0;85.95955006;8.5;0.0;15.0;300.0;2015-04-21
;2015;4;22;;;;;;;;;;;;;;;;;;;27.0;33.0;30.2;29.39166667;33.5;25.6;2.5;100.0;1009.8;0.0;0.0;0.0;76.27319871;7.0;0.0;12.0;330.0;2015-04-22
;2015;4;23;;;;;;;;;;;;;;;;;;;26.8;33.0;25.1;27.24166667;33.2;26.0;0.0;50.0;1009.5;0.0;0.0;0.0;82.3576981;8.0;0.0;13.0;280.0;2015-04-23
;2015;4;24;;;;;;;;;;;;;;;;;;;25.4;30.7;24.9;26.9375;32.4;24.3;11.3;90.0;1009.6;0.0;0.0;0.0;85.11487479;10.0;0.0;17.0;290.0;2015-04-24
;2015;4;25;;;;;;;;;;;;;;;;;;;25.5;28.9;27.7;27.05833333;29.2;24.4;13.9;0.0;1009.8;0.0;0.0;0.0;84.09675476;5.5;0.0;10.0;290.0;2015-04-25
;2015;4;26;;;;;;;;;;;;;;;;;;;26.2;31.3;27.1;27.44166667;31.3;25.5;0.0;2.5;1010.0;0.0;0.0;0.0;80.15209875;5.0;0.0;8.0;310.0;2015-04-26
;2015;4;27;;;;;;;;;;;;;;;;;;;25.7;30.7;26.1;26.85416667;31.0;24.8;0.0;38.75;1009.6;0.0;0.0;0.0;87.12563147;5.5;0.0;9.0;80.0;2015-04-27
;2015;4;28;;;;;;;;;;;;;;;;;;;25.6;26.6;26.2;26.45833333;29.3;25.0;5.4;16.25;1010.1;0.0;0.0;0.0;91.67008625;6.0;0.0;10.0;140.0;2015-04-28
;2015;4;29;;;;;;;;;;;;;;;;;;;26.5;31.0;29.2;28.47083333;31.0;25.0;14.8;55.0;1010.9;0.0;0.0;0.0;82.70498375;6.0;0.0;9.0;310.0;2015-04-29
;2015;4;30;;;;;;;;;;;;;;;;;;;27.2;30.4;25.8;27.2375;30.8;25.8;0.0;31.25;1010.7;0.0;0.0;0.0;85.98751165;6.5;0.0;10.0;250.0;2015-04-30
